N_out,P_low,P_upp
526,0.39051390561770394,0.5584866947922027
527,0.3895419630855328,0.5574971226110153
528,0.3885703542095307,0.5565072168480655
529,0.3875990791007837,0.5555169773950596
530,0.38662813787443095,0.5545264041396536
531,0.38565753064967345,0.5535354969654459
532,0.3846872575497804,0.5525442557519722
533,0.383717318702096,0.5515526803746954
534,0.38274771423804876,0.5505607707050006
535,0.38177844429315777,0.5495685266101866
536,0.3808095090070416,0.5485759479534563
537,0.3798409085234268,0.5475830345939108
538,0.37887264299015655,0.5465897863865394
539,0.37790471255919966,0.545596203182211
540,0.37693711738665936,0.5446022848276654
541,0.37596985763278323,0.5436080311655036
542,0.37500293346197333,0.5426134420341782
543,0.3740363450427948,0.5416185172679844
544,0.3730700925479874,0.5406232566970481
545,0.3721041761544759,0.5396276601473176
546,0.3711385960433802,0.5386317274405514
547,0.370173352400027,0.5376354583943084
548,0.3692084454139615,0.5366388528219356
549,0.3682438752789572,0.5356419105325576
550,0.3672796421930302,0.534644631331064
551,0.3663157463584501,0.5336470150180987
552,0.36535218798175184,0.5326490613900463
553,0.36438896727375014,0.53165077023902
554,0.36342608444955093,0.5306521413528491
555,0.36246353972856493,0.529653174515065
556,0.36150133333452206,0.5286538695048896
557,0.3605394654954843,0.5276542260972187
558,0.35957793644386093,0.526654244062611
559,0.35861674641642205,0.5256539231672726
560,0.35765589565431266,0.5246532631730414
561,0.35669538440307,0.5236522638373737
562,0.35573521291263654,0.5226509249133291
563,0.3547753814373771,0.5216492461495533
564,0.3538158902360937,0.520647227290265
565,0.35285673957204255,0.5196448680752371
566,0.35189792971295075,0.5186421682397828
567,0.35093946093103223,0.5176391275147367
568,0.3499813335030053,0.5166357456264392
569,0.3490235477101107,0.5156320222967193
570,0.34806610383812886,0.514627957242876
571,0.3471090021773975,0.5136235501776617
572,0.34615224302283165,0.5126188008092618
573,0.3451958266739408,0.5116137088412789
574,0.34423975343484847,0.5106082739727119
575,0.3432840236143123,0.509602495897937
576,0.34232863752574283,0.5085963743066895
577,0.34137359548722424,0.5075899088840418
578,0.3404188978215349,0.5065830993103843
579,0.33946454485616695,0.5055759452614057
580,0.3385105369233494,0.5045684464080702
581,0.33755687436006787,0.5035606024165977
582,0.3366035575080871,0.5025524129484409
583,0.3356505867139732,0.5015438776602648
584,0.3346979623291162,0.5005349962039232
585,0.33374568470975263,0.499525768226436
586,0.3327937542169894,0.49851619336996733
587,0.331842171216827,0.49750627127180025
588,0.33089093608018316,0.49649600156431517
589,0.3299400491829181,0.4954853838749631
590,0.32898951090585893,0.49447441782624324
591,0.3280393216348245,0.4934631030356772
592,0.32708948176065145,0.49245143911578293
593,0.32613999167922025,0.49143942567405074
594,0.3251908517914808,0.4904270623129149
595,0.3242420625034802,0.48941434862972955
596,0.3232936242263891,0.48840128421673956
597,0.32234553737652905,0.48738786866105466
598,0.32139780237540205,0.486374101544621
599,0.32045041964971765,0.48535998244419265
600,0.31950338963142166,0.4843455109313043
601,0.318556712757726,0.4833306865722409
602,0.3176103894711385,0.48231550892800856
603,0.31666442021949215,0.48129997755430476
604,0.31571880545597764,0.4802840920014886
605,0.3147735456391716,0.479267851814548
606,0.31382864123307075,0.4782512565330713
607,0.3128840927071217,0.4772343056912133
608,0.31193990053625575,0.4762169988176641
609,0.31099606520091916,0.47519933543561577
610,0.3100525871871085,0.4741813150627304
611,0.3091094669864032,0.47316293721110503
612,0.3081667050960011,0.4721442013872388
613,0.3072243020187526,0.47112510709199773
614,0.30628225826319566,0.4701056538205799
615,0.3053405743435931,0.4690858410624792
616,0.30439925077996643,0.46806566830145047
617,0.30345828809813546,0.46704513501547207
618,0.30251768682975433,0.46602424067670833
619,0.30157744751234894,0.4650029847514737
620,0.3006375706893567,0.4639813667001922
621,0.2996980569101656,0.4629593859773602
622,0.2987589067301515,0.4619370420315062
623,0.29782012071072117,0.4609143343051527
624,0.2968816994193516,0.4598912622347735
625,0.295943643429631,0.45886782525075454
626,0.29500595332130164,0.4578440227773508
627,0.29406862968030156,0.4568198542326458
628,0.2931316730988076,0.4557953190285078
629,0.2921950841752796,0.4547704165705466
630,0.29125886351450414,0.4537451462580697
631,0.29032301172763986,0.45271950748403733
632,0.28938752943226276,0.4516934996350188
